seq_id	ormerod_family	genus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244930.UncR2532	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244897.UncR2525	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244901.UncR2526	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244909.UncR2528	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244899.UncR2570	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244953.UncR2587	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244937.UncR2569	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244929.UncR2566	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF018450.UniRu132	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244950.UncR2536	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB554990.UncRu635	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244926.UncR2548	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244931.UncR2583	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244907.UncR2527	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244923.UncR2564	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244895.UncR2542	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244904.UncR2544	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244898.UncR2560	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244914.UncR2575	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244916.UncR2563	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB278593.PrePleur	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349392.PreSpe60	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|S24_7||AJ400235.Unc29190	S24_7	
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|S24_7||AJ400263.Unc29193	S24_7	
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|S24_7||AJ400267.Unc29200	S24_7	
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella||AB267809.BnsVisce	Barnesiellaceae	Barnesiella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella||AB370251.BnsIntes	Barnesiellaceae	Barnesiella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AY570514.PpmUeno2	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||GU233445.PpmGin10	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AY005067.PpmSpe17	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AY207054.PpmSpe18	Porphyromonadaceae	Porphyromonas
